ANO_CONCESSAO_BOLSA;NOME_IES_BOLSA;TIPO_BOLSA;MODALIDADE_ENSINO_BOLSA;NOME_CURSO_BOLSA;NOME_TURNO_CURSO_BOLSA;SEXO_BENEFICIARIO_BOLSA;RACA_BENEFICIARIO_BOLSA;DT_NASCIMENTO_BENEFICIARIO;BENEFICIARIO_DEFICIENTE_FISICO;SIGLA_UF_BENEFICIARIO_BOLSA;MUNICIPIO_BENEFICIARIO_BOLSA;IDADE
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis;Curso a distância;F;Parda;1998-04-03;N;MG;DIVINOLANDIA DE MINAS;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis;Curso a distância;F;Parda;1993-10-28;N;MG;CARMESIA;27
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis;Curso a distância;F;Parda;1990-04-05;N;MG;DORES DE GUANHAES;30
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis;Curso a distância;M;Branca;1995-11-16;N;MG;URUCANIA;25
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis;Curso a distância;M;Branca;1984-01-18;N;MG;ARAPUA;37
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis;Curso a distância;F;Preta;1991-10-04;N;MG;NOVA PONTE;29
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis;Curso a distância;M;Preta;1994-01-04;N;MG;PONTE NOVA;27
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis;Curso a distância;M;Parda;1983-05-14;N;MG;DOM JOAQUIM;37
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis;Curso a distância;F;Branca;1993-04-05;N;MG;BONFIM;27
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis;Curso a distância;F;Parda;1997-11-06;N;MG;ARAXA;23
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis(Ed);Curso a distância;F;Parda;1993-10-28;N;MG;CARMESIA;27
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis(Ed);Curso a distância;F;Parda;1990-04-05;N;MG;DORES DE GUANHAES;30
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis(Ed);Curso a distância;M;Branca;1995-11-16;N;MG;URUCANIA;25
2018;UNIVERSIDADE DE RIBEIRÃO PRETO;BOLSA INTEGRAL;Presencial;Engenharia De Produção;Noturno;F;Parda;1999-08-19;N;MG;ALPINOPOLIS;21
2018;UNIVERSIDADE DE RIBEIRÃO PRETO;BOLSA INTEGRAL;Presencial;Farmácia;Matutino;F;Branca;1999-05-03;N;MG;ARCEBURGO;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis(Ed);Curso a distância;M;Preta;1991-11-08;N;MG;GOVERNADOR VALADARES;29
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis(Ed);Curso a distância;M;Parda;1998-10-09;N;MG;SABINOPOLIS;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis(Ed);Curso a distância;F;Parda;1990-06-17;N;MG;SAO JOAO EVANGELISTA;30
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis(Ed);Curso a distância;F;Branca;1998-08-10;N;MG;GOVERNADOR VALADARES;22
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis(Ed);Curso a distância;M;Parda;1988-08-20;N;MG;TEOFILO OTONI;32
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Ciências Contábeis(Ed);Curso a distância;F;Parda;1979-05-09;N;MG;GUANHAES;41
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Engenharia Civil;Curso a distância;F;Parda;1983-11-15;N;MG;SANTA VITORIA;37
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Engenharia Civil;Curso a distância;M;Parda;1981-08-25;N;MG;UBERABA;39
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Engenharia Elétrica;Curso a distância;M;Parda;1986-08-02;N;MG;ESMERALDAS;34
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Engenharia Elétrica;Curso a distância;M;Branca;2000-07-02;N;MG;BARBACENA;20
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Engenharia Elétrica;Curso a distância;M;Branca;1984-12-13;N;MG;JUIZ DE FORA;36
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Engenharia Elétrica;Curso a distância;M;Parda;1993-10-08;N;MG;ARAXA;27
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Engenharia Elétrica;Curso a distância;F;Branca;1999-05-22;N;MG;OURO PRETO;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Geografia;Curso a distância;M;Parda;1997-04-14;N;MG;GOVERNADOR VALADARES;23
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Geografia;Curso a distância;F;Branca;1980-02-21;N;MG;PONTE NOVA;41
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Geografia(Ed);Curso a distância;F;Parda;1999-09-17;N;MG;COLUNA;21
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Geografia(Ed);Curso a distância;F;Branca;1980-02-21;N;MG;PONTE NOVA;41
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Geografia(Ed);Curso a distância;M;Parda;1995-04-10;N;MG;PAVAO;25
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Gestão De Agronegócios;Curso a distância;M;Parda;1982-10-23;N;MG;MANHUACU;38
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Gestão De Agronegócios;Curso a distância;M;Parda;1989-03-11;N;MG;UBERABA;32
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Gestão De Agronegócios;Curso a distância;F;Parda;1985-09-27;N;MG;JANAUBA;35
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Gestão De Recursos Humanos;Curso a distância;F;Parda;1996-04-18;N;MG;SEM PEIXE;24
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Gestão De Recursos Humanos;Curso a distância;M;Parda;1997-11-23;N;MG;MONTES CLAROS;23
2018;UNIVERSIDADE DE UBERABA;BOLSA INTEGRAL;EAD;Gestão De Recursos Humanos;Curso a distância;F;Parda;1999-01-17;N;MG;GUANHAES;22
2018;UNIVERSIDADE DE RIBEIRÃO PRETO;BOLSA INTEGRAL;Presencial;Medicina;Integral;F;Parda;1999-12-17;N;MG;TEOFILO OTONI;21
2018;UNIVERSIDADE DE RIBEIRÃO PRETO;BOLSA INTEGRAL;Presencial;Nutrição;Matutino;M;Parda;1999-09-16;N;MG;ITAMARANDIBA;21
2018;UNIVERSIDADE DE RIBEIRÃO PRETO;BOLSA INTEGRAL;Presencial;Psicologia;Integral;F;Branca;1999-06-14;N;MG;SAO SEBASTIAO DO PARAISO;21
